name,brandName,discountPercent,new_price,old_price,rating,rating_count,segment_name,brickNameText,url
Printed A-line Dress,SAKURA,0%,1899.00,1899.00,3.9,2.6000,Women,Dresses & Gowns,/sakura-printed-a-line-dress/p/460964547_green
Women Printed A-Line Dress,YOUSTA,0%,599.00,599.00,3.7,10,Women,Dresses & Gowns,/yousta-women-printed-a-line-dress/p/442525801_rust
Polka-Dot Print Waist Tie-Up Flared Dress,House Of Kkarma,51,1715.00,3499.00,3.8,91,Women,Dresses & Gowns,/house-of-kkarma-polka-dot-print-waist-tie-up-flared-dress/p/465235108_green
Women Embroidered Flared Dress,FUSION,0%,1299.00,1299.00,3.6,17,Women,Dresses & Gowns,/fusion-women-embroidered-flared-dress/p/443032663_offwhite
Floral Embroidered Layered Dress,AVAASA SET,52,1416.00,2949.00,3.5,235,Women,Dresses & Gowns,/avaasa-set-floral-embroidered-layered-dress/p/443008227_aqua
Striped Tiered Dress,YOUSTA,0%,699.00,699.00,3,9,Women,Dresses & Gowns,/yousta-striped-tiered-dress/p/442251927_red
Women Printed Fit & Flare Dress,FUSION,0%,1499.00,1499.00,3.7,10,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443025500_offwhite
Women Paisley Print Fit & Flare Dress,FUSION,0%,1299.00,1299.00,3.8,18,Women,Dresses & Gowns,/fusion-women-paisley-print-fit--flare-dress/p/443035829_white
Women Printed Fit & Flare Dress with Waist Tie-Up,FUSION,29,780.00,1099.00,4.4,105,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress-with-waist-tie-up/p/443027900_black
Embroidered Yoke Flared Dress,AVAASA SET,49,1300.00,2549.00,4.2,250,Women,Dresses & Gowns,/avaasa-set-embroidered-yoke-flared-dress/p/443020842_red
Schiffli Embroidered Fit & Flare Dress,Svrnaa,0%,3599.00,3599.00,4.2,5,Women,Dresses & Gowns,/svrnaa-schiffli-embroidered-fit--flare-dress/p/443028248_white
Women Floral Print High-Low Fit & Flare Dress,FUSION,29,709.00,999.00,3,6,Women,Dresses & Gowns,/fusion-women-floral-print-high-low-fit--flare-dress/p/443025123_offwhite
Embellished Fit & Flare Dress with Inner,AVAASA SET,49,2116.00,4149.00,3.9,162,Women,Dresses & Gowns,/avaasa-set-embellished-fit--flare-dress-with-inner/p/443020380_rosegold
Geometric Print Fit & Flare Dress,Stylum,65,700.00,1999.00,3.4,254,Women,Dresses & Gowns,/stylum-geometric-print-fit--flare-dress/p/463813532_black
Floral Print A-Line Dress,FUSION,29,1313.00,1849.00,4,67,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress/p/443021204_navy
Women Floral Print Fit & Flare Dress,BLACK SCISSOR,78,1000.00,4545.00,2.9,83,Women,Dresses & Gowns,/black-scissor-women-floral-print-fit--flare-dress/p/467114163_black
Ombre-Dyed Gown Dress,BLACK SCISSOR,72,1120.00,3999.00,3.4,49,Women,Dresses & Gowns,/black-scissor-ombre-dyed-gown-dress/p/466290063_green
Women Fit & Flared Dress with Dupatta,BLACK SCISSOR,75,1705.00,6818.00,3.8,4,Women,Dresses & Gowns,/black-scissor-women-fit--flared-dress-with-dupatta/p/467224764_pink
Striped Fit & Flare Dress,Indibelle,70,810.00,2699.00,3.5,13,Women,Dresses & Gowns,/indibelle-striped-fit--flare-dress/p/466848467_green
Women Printed A-Line Dress,FUSION,0%,1299.00,1299.00,0,0,Women,Dresses & Gowns,/fusion-women-printed-a-line-dress/p/443040592_white
Women Geometric Print Fit & Flare Dress,FUSION,29,1029.00,1449.00,3.9,68,Women,Dresses & Gowns,/fusion-women-geometric-print-fit--flare-dress/p/443027907_charcoal
Women Printed Fit & Flare Dress,YOUSTA,0%,799.00,799.00,3.7,42,Women,Dresses & Gowns,/yousta-women-printed-fit--flare-dress/p/442592917_purple
Embroidered Fit & Flare Dress with Jacket,AVAASA SET,52,1224.00,2549.00,3.8,244,Women,Dresses & Gowns,/avaasa-set-embroidered-fit--flare-dress-with-jacket/p/441148893_darkgreen
Square-Neck Tiered Dress,Raiyani Fashion,73,435.00,1610.00,3.6,133,Women,Dresses & Gowns,/raiyani-fashion-square-neck-tiered-dress/p/466583534_wine
Floral Print Fit & Flare Dress,NISHABD,57,999.00,2299.00,3.8,1.4000,Women,Dresses & Gowns,/nishabd-floral-print-fit--flare-dress/p/465505654_pink
Polka Print V-neck A-line Dress,FUSION,52,792.00,1649.00,3.7,2.5000,Women,Dresses & Gowns,/fusion-polka-print-v-neck-a-line-dress/p/441145734_indigo
Embroidered Gown Dress,Amira's Indian Ethnic Wear,72,1176.00,4199.00,3.6,228,Women,Dresses & Gowns,/amira-s-indian-ethnic-wear-embroidered-gown-dress/p/466225688_white
Printed Fit & Flare Dress,Stylum,69,620.00,1999.00,3.7,3.4000,Women,Dresses & Gowns,/stylum-printed-fit--flare-dress/p/464510825_blue
Printed V-Neck A-Line Dress,FUSION,52,792.00,1649.00,4.1,176,Women,Dresses & Gowns,/fusion-printed-v-neck-a-line-dress/p/441149767_white
Women Embroidered Fit & Flare Dress,FUSION,0%,1299.00,1299.00,3.5,4,Women,Dresses & Gowns,/fusion-women-embroidered-fit--flare-dress/p/443025092_pink
Floral Print Fit & Flare Dress,Tissu,66,986.00,2899.00,4.3,31,Women,Dresses & Gowns,/tissu-floral-print-fit--flare-dress/p/466420145_multi
Geometric Print A-Line Dress,Acai,75,500.00,1999.00,3.3,32,Women,Dresses & Gowns,/acai-geometric-print-a-line-dress/p/469186101_grey
Embroidered Gown Dress,Amira's Indian Ethnic Wear,69,1860.00,5999.00,4.1,128,Women,Dresses & Gowns,/amira-s-indian-ethnic-wear-embroidered-gown-dress/p/466631718_white
Women Chevron Print Fit & Flare Dress,FUSION,0%,999.00,999.00,3.9,9,Women,Dresses & Gowns,/fusion-women-chevron-print-fit--flare-dress/p/443032889_pink
Women Floral Print Fit & Flare Dress,YOUSTA,0%,799.00,799.00,4.5,36,Women,Dresses & Gowns,/yousta-women-floral-print-fit--flare-dress/p/442592911_lilac
Floral Fit and Flare Dress,BLACK SCISSOR,65,875.00,2499.00,2.7,144,Women,Dresses & Gowns,/black-scissor-floral-fit-and-flare-dress/p/466771563_black
Printed Fit & Flare Dress,AVAASA SET,29,1810.00,2549.00,3.8,124,Women,Dresses & Gowns,/avaasa-set-printed-fit--flare-dress/p/443013195_rosegold
Printed A-Line Dress with Fabric Belt,Fashor,53,1269.00,2699.00,4,55,Women,Dresses & Gowns,/fashor-printed-a-line-dress-with-fabric-belt/p/466511296_offwhite
Elephant Print A-Line Dress,InWeave,57,1290.00,2999.00,3.7,47,Women,Dresses & Gowns,/inweave-elephant-print-a-line-dress/p/465868851_blue
Women Printed Relaxed Fit Fit & Flare Dress,SIYAHI,0%,899.00,899.00,4,6,Women,Dresses & Gowns,/siyahi-women-printed-relaxed-fit-fit--flare-dress/p/443027015_lime
Embroidered Wrap Dress,FUSION,29,1313.00,1849.00,4.4,20,Women,Dresses & Gowns,/fusion-embroidered-wrap-dress/p/443021020_purple
Printed A-Line Dress,FUSION,50,925.00,1849.00,3.9,269,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/443015906_pink
Hand Tie & Dye A-Line Dress,Indie Picks,68,799.00,2498.00,3.3,7,Women,Dresses & Gowns,/indie-picks-hand-tie--dye-a-line-dress/p/467110736_blue
Women Floral Print Relaxed Fit Tiered Dress,FUSION,0%,1699.00,1699.00,4.2,77,Women,Dresses & Gowns,/fusion-women-floral-print-relaxed-fit-tiered-dress/p/443032890_white
Women Embroidered Fit & Flare Dress,AVAASA SET,0%,1699.00,1699.00,3.8,33,Women,Dresses & Gowns,/avaasa-set-women-embroidered-fit--flare-dress/p/443025171_plum
Foil Print Empire Midi Dress,AVAASA SET,52,936.00,1949.00,3.8,477,Women,Dresses & Gowns,/avaasa-set-foil-print-empire-midi-dress/p/443008093_ltgrey
Women Embellished Bodycon Dress,Thapnath,42,2319.00,3999.00,3.1,14,Women,Dresses & Gowns,/thapnath-women-embellished-bodycon-dress/p/467243413_black
Women Printed Shift Dress,YOUSTA,0%,599.00,599.00,4,5,Women,Dresses & Gowns,/yousta-women-printed-shift-dress/p/442585010_green
Women Animal Print Flared Gown Dress,Fashionuma,64,785.00,2199.00,0,0,Women,Dresses & Gowns,/fashionuma-women-animal-print-flared-gown-dress/p/467266335_blue
Floral Print Fit & Flare Dress with Tie-Up,FUSION,52,792.00,1649.00,4.1,1.7000,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress-with-tie-up/p/443000390_ltyellow
Women Floral Print Round-Neck Fit & Flare Dress,AVAASA SET,0%,2799.00,2799.00,3.7,6,Women,Dresses & Gowns,/avaasa-set-women-floral-print-round-neck-fit--flare-dress/p/443033147_mint
Floral Print Fit & Flare Dress,FUSION,49,841.00,1649.00,3.8,168,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress/p/443021028_purple
Women Printed A-Line Dress,FUSION,0%,999.00,999.00,4.1,8,Women,Dresses & Gowns,/fusion-women-printed-a-line-dress/p/443032896_white
Women Printed Fit & Flare Dress,FUSION,29,780.00,1099.00,3.9,79,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443028175_green
Women Fit & Flare Dress with Embroidered Yoke,FUSION,0%,1499.00,1499.00,3.8,16,Women,Dresses & Gowns,/fusion-women-fit--flare-dress-with-embroidered-yoke/p/443032895_ltblue
Printed A-Line Dress,FUSION,52,888.00,1849.00,3.9,260,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/441149499_pink
Women Printed Fit & Flare Dress,FUSION,29,780.00,1099.00,3.9,169,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443028305_pink
Women Embroidered Tiered Dress,Antaran,66,850.00,2499.00,4,159,Women,Dresses & Gowns,/antaran-women-embroidered-tiered-dress/p/466850750_green
Printed Fit & Flare Dress,FUSION,49,841.00,1649.00,3.8,119,Women,Dresses & Gowns,/fusion-printed-fit--flare-dress/p/443021017_burgandy
Printed Fit & Flare Dress with Tie-Up,FUSION,29,851.00,1199.00,4.2,456,Women,Dresses & Gowns,/fusion-printed-fit--flare-dress-with-tie-up/p/443021422_fuchsia
Women Floral Print Fit & Flare Dress,FUSION,0%,999.00,999.00,0,0,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443040591_offwhite
Women Ikat Print Fit & Flare Dress,FUSION,29,780.00,1099.00,3.7,157,Women,Dresses & Gowns,/fusion-women-ikat-print-fit--flare-dress/p/443028162_wine
Women Embroidered V-Neck Flared Dress,AVAASA SET,0%,2999.00,2999.00,4,3,Women,Dresses & Gowns,/avaasa-set-women-embroidered-v-neck-flared-dress/p/443025388_aqua
Women Floral Print Fit & Flare Dress,DECKEDUP,65,805.00,2299.00,2.9,50,Women,Dresses & Gowns,/deckedup-women-floral-print-fit--flare-dress/p/466773906_brown
Ikat Print Mock Jacket A-Line Dress,FUSION,52,888.00,1849.00,4.1,286,Women,Dresses & Gowns,/fusion-ikat-print-mock-jacket-a-line-dress/p/441149765_ltblue
Women Floral Print Fit & Flare Dress,AVAASA SET,0%,1999.00,1999.00,4,10,Women,Dresses & Gowns,/avaasa-set-women-floral-print-fit--flare-dress/p/443035865_mauve
Indian Fit And Flare  Dress,GLAM ROOTS,54,920.00,1999.00,3.5,2.3000,Women,Dresses & Gowns,/glam-roots-indian-fit-and-flare-dress/p/463624230_blue
Printed Boat-Neck A-Line Dress,FUSION,52,696.00,1449.00,3.5,490,Women,Dresses & Gowns,/fusion-printed-boat-neck-a-line-dress/p/443001078_wine
Floral Print Fit & Flare Dress,FUSION,52,888.00,1849.00,4,1000,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress/p/443008911_wine
Printed A-Line Dress with Ruffled Neckline,FUSION,52,696.00,1449.00,3.9,148,Women,Dresses & Gowns,/fusion-printed-a-line-dress-with-ruffled-neckline/p/443008091_yellow
Embellished Round-Neck Tiered Dress,MADHURAM TEXTILES,57,1498.00,3499.00,4,1.3000,Women,Dresses & Gowns,/madhuram-textiles-embellished-round-neck-tiered-dress/p/464904683_blue
Embellished & Embroidered Gown Dress,MADHURAM TEXTILES,73,1890.00,6999.00,4.2,73,Women,Dresses & Gowns,/madhuram-textiles-embellished--embroidered-gown-dress/p/466670795_maroon
Applique Gown Dress,VISHWASH ENTERPRISE,50,1300.00,2600.00,3.3,36,Women,Dresses & Gowns,/vishwash-enterprise-applique-gown-dress/p/466981130_yellow
Women Embroidered Fit & Flare Dress,FUSION,0%,1299.00,1299.00,0,0,Women,Dresses & Gowns,/fusion-women-embroidered-fit--flare-dress/p/443035516_offwhite
Women Floral Embroidered Tiered Dress,FUSION,0%,999.00,999.00,3.7,29,Women,Dresses & Gowns,/fusion-women-floral-embroidered-tiered-dress/p/443034569_white
Floral Print Round-Neck A-Line Dress,AVAASA SET,52,1128.00,2349.00,4.1,296,Women,Dresses & Gowns,/avaasa-set-floral-print-round-neck-a-line-dress/p/443008058_blue
Floral Print A-Line Dress with Side Tie-Up,FUSION,52,792.00,1649.00,3.9,270,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress-with-side-tie-up/p/443008077_yellow
Women Printed Fit & Flare Dress,FUSION,29,709.00,999.00,4.1,66,Women,Dresses & Gowns,/fusion-women-printed-fit--flare-dress/p/443025564_blue
Foil Print Fit & Flare Dress,FUSION,49,841.00,1649.00,3.5,68,Women,Dresses & Gowns,/fusion-foil-print-fit--flare-dress/p/443016274_navy
Women Tiered Dress with Overlay,AVAASA SET,0%,2199.00,2199.00,4.3,3,Women,Dresses & Gowns,/avaasa-set-women-tiered-dress-with-overlay/p/443037225_offwhite
Women Floral Embroidered Fit & Flare Dress with Dupatta,BLACK SCISSOR,75,1705.00,6818.00,2.5,28,Women,Dresses & Gowns,/black-scissor-women-floral-embroidered-fit--flare-dress-with-dupatta/p/467142098_black
Women V-Neck Gown Dress,Jash Creation,69,499.00,1610.00,3.5,33,Women,Dresses & Gowns,/jash-creation-women-v-neck-gown-dress/p/466576634_black
Tie & Dye Round-Neck Fit & Flare Dress,Indie Picks,67,824.00,2499.00,3.7,68,Women,Dresses & Gowns,/indie-picks-tie--dye-round-neck-fit--flare-dress/p/466923365_black
Floral Print Fit & Flare Dress,FUSION,49,841.00,1649.00,3.8,168,Women,Dresses & Gowns,/fusion-floral-print-fit--flare-dress/p/443021028_fuchsia
Women Floral Print Tiered Dress,YOUSTA,0%,899.00,899.00,4.9,15,Women,Dresses & Gowns,/yousta-women-floral-print-tiered-dress/p/442525850_ivory
Printed Round-Neck A-Line Dress,FUSION,52,696.00,1449.00,4,474,Women,Dresses & Gowns,/fusion-printed-round-neck-a-line-dress/p/443008926_magntafusha
Printed A-Line Double Layered Dress,FUSION,52,888.00,1849.00,3.8,729,Women,Dresses & Gowns,/fusion-printed-a-line-double-layered-dress/p/443008917_offwhite
Women Floral Print Fit & Flare Dress,FUSION,0%,1299.00,1299.00,0,0,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443042077_turq
Foil Print A-Line Dress,FUSION,49,943.00,1849.00,4,82,Women,Dresses & Gowns,/fusion-foil-print-a-line-dress/p/443016650_mediumblue
Women Embroidered A-Line Dress,AVAASA SET,0%,2399.00,2399.00,4.7,6,Women,Dresses & Gowns,/avaasa-set-women-embroidered-a-line-dress/p/443025009_ecru
Women Printed Tiered Dress,FUSION,0%,1499.00,1499.00,4.4,16,Women,Dresses & Gowns,/fusion-women-printed-tiered-dress/p/443034746_blue
Printed A-Line Dress,FUSION,50,725.00,1449.00,4,766,Women,Dresses & Gowns,/fusion-printed-a-line-dress/p/443015903_offwhite
Printed A-Line Dress with Elasticated Waist,LABEL RITU KUMAR,50,2250.00,4500.00,4.1,14,Women,Dresses & Gowns,/label-ritu-kumar-printed-a-line-dress-with-elasticated-waist/p/410333648_olive
Embellished Fit & Flare Dress,FUSION,50,925.00,1849.00,3.8,150,Women,Dresses & Gowns,/fusion-embellished-fit--flare-dress/p/443016484_mint
Women Embroidered Fit & Flared Dress,FUSION,29,1171.00,1649.00,4,72,Women,Dresses & Gowns,/fusion-women-embroidered-fit--flared-dress/p/443021014_mint
Women Printed Tiered Dress,SIYAHI,0%,999.00,999.00,3.8,9,Women,Dresses & Gowns,/siyahi-women-printed-tiered-dress/p/443033711_red
Women Floral Print Fit & Flare Dress,FUSION,29,780.00,1099.00,4.1,130,Women,Dresses & Gowns,/fusion-women-floral-print-fit--flare-dress/p/443027902_coral
Floral Print Fit & Flare Dress,AVAASA SET,49,1096.00,2149.00,3.7,117,Women,Dresses & Gowns,/avaasa-set-floral-print-fit--flare-dress/p/443020377_mahogany
Floral Print A-line Dress,FUSION,52,792.00,1649.00,4.1,1.7000,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress/p/443000390_aqua
Printed V-Neck Fit & Flare Dress,AVAASA SET,52,936.00,1949.00,4,329,Women,Dresses & Gowns,/avaasa-set-printed-v-neck-fit--flare-dress/p/443007965_ltgreen
Women Printed Relaxed Fit A-Line Dress,FUSION,0%,999.00,999.00,4.2,5,Women,Dresses & Gowns,/fusion-women-printed-relaxed-fit-a-line-dress/p/443035550_white
Striped Fit & Flare Dress,YOUSTA,0%,699.00,699.00,0,0,Women,Dresses & Gowns,/yousta-striped-fit--flare-dress/p/442250508_yellow
Fit & Flare Dress with Batik Print Dupatta,Janasya,47,1589.00,2999.00,3.9,647,Women,Dresses & Gowns,/janasya-fit--flare-dress-with-batik-print-dupatta/p/463843256_black
Floral Print Gown Dress,FTDIVA,72,849.00,2995.00,3.6,588,Women,Dresses & Gowns,/ftdiva-floral-print-gown-dress/p/464223985_blue
Women Gown with Puff Sleeves,Jash Creation,69,499.00,1610.00,2.5,16,Women,Dresses & Gowns,/jash-creation-women-gown-with-puff-sleeves/p/466791288_blue
Women Foil Print Fit & Flare Dress,AVAASA SET,29,1419.00,1999.00,4,94,Women,Dresses & Gowns,/avaasa-set-women-foil-print-fit--flare-dress/p/443025190_navy
Foil Print A-line with Jacket,AVAASA SET,52,1320.00,2749.00,3.8,132,Women,Dresses & Gowns,/avaasa-set-foil-print-a-line-with-jacket/p/443008185_green
Women Floral Print Tiered Dress,PINK VYBE,56,880.00,1999.00,0,0,Women,Dresses & Gowns,/pink-vybe-women-floral-print-tiered-dress/p/467152931_yellow
Floral Print A-Line Dress,FUSION,52,792.00,1649.00,3.6,68,Women,Dresses & Gowns,/fusion-floral-print-a-line-dress/p/443010184_offwhite
Women Ikat Print Fit & Flare Dress,FUSION,29,780.00,1099.00,3.7,157,Women,Dresses & Gowns,/fusion-women-ikat-print-fit--flare-dress/p/443028162_wine
Women Embroidered Empire Dress,FUSION,29,1064.00,1499.00,3.3,40,Women,Dresses & Gowns,/fusion-women-embroidered-empire-dress/p/443032660_green
